Title,Year,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
Banana in a Nutshell,2005,tt1537196,0,6vgD78Z6ut4,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Banana-in-a-Nutshell-Movie-Poster.jpg,Roseanne Liang,Roseanne Liang,
Hostiles,2017,tt5478478,134,1M5cj4UmscE,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Hostiles-Movie-Poster.jpg,Scott Cooper,Scott Cooper,Ava Cooper|Rosamund Pike|Scott Shepherd
Maze Runner: The Death Cure,2018,tt4500922,141,wnE_y4vN9nQ,6.5,https://hydramovies.com/wp-content/uploads/2018/04/Maze-Runner-The-Death-Cure-Movie-Poster.jpg,Wes Ball,T.S. Nowlin,Dylan O'Brien|Kaya Scodelario|Ki Hong Lee
Den of Thieves,2018,tt1259528,140,FKd_ks0rdAM,7,https://hydramovies.com/wp-content/uploads/2018/04/Den-of-Thieves-Movie-Poster.jpg,Christian Gudegast,Christian Gudegast,Gerard Butler|Pablo Schreiber
V.I.P.,2017,tt6413410,128,dwRkl2BjtGQ,6.4,https://hydramovies.com/wp-content/uploads/2018/04/V.I.P.-Movie-Poster.jpg,Hoon-jung Park,Hoon-jung Park,Dong-Gun Jang|Jong-Suk Lee|Myung-Min Kim
Walk Hard: The Dewey Cox Story,2007,tt0841046,96,4yzjtnj8Y3U,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Walk-Hard-The-Dewey-Cox-Story-Movie-Poster.jpg,Jake Kasdan,Judd Apatow,David Krumholtz|Jenna Fischer|John C. Reilly
Freaky Friday,2003,tt0322330,97,obOyYTto5Sg,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Freaky-Friday-Movie-Poster.jpg,Mark Waters,Mary Rodgers,Jamie Lee Curtis|Lindsay Lohan
Perfect Strangers,2017,tt6101820,97,#NAME?,7,https://hydramovies.com/wp-content/uploads/2018/04/Perfect-Strangers-Movie-Poster.jpg,Álex de la Iglesia,Álex de la Iglesia,Belén Rueda|Eduard Fernández
Paterno,2018,tt2388986,105,scI7dYdlzuY,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Paterno-Movie-Poster.jpg,Barry Levinson,Debora Cahn,Al Pacino|Kathy Baker|Kenneth Maharaj
Shirley: Visions of Reality,2013,tt2636806,92,rcQ4JKxxukY,6.5,https://hydramovies.com/wp-content/uploads/2018/04/Shirley-Visions-of-Reality-Movie-Poster.jpg,Gustav Deutsch,Gustav Deutsch,Christoph Bach|Florentín Groll|Stephanie Cumming
